epoch,loss,pixel_acc,val_loss,val_pixel_acc
0,1.6155741214752197,0.6145007014274597,1.4546574354171753,0.745032787322998
1,1.240565299987793,0.6629257202148438,0.9032095670700073,0.8492959141731262
2,0.9476736187934875,0.7891245484352112,0.7568812370300293,0.8010224103927612
3,0.7138745188713074,0.8340360522270203,0.6409333348274231,0.9351851344108582
4,0.7325215935707092,0.8469845056533813,0.5892775654792786,0.8582175970077515
5,0.6118101477622986,0.8681486248970032,0.4753119647502899,0.8468846082687378
6,0.5084456205368042,0.8874524235725403,0.4224469065666199,0.89674973487854
7,0.45828402042388916,0.8950169682502747,0.34254586696624756,0.92857825756073
8,0.4165685176849365,0.9085337519645691,0.312959760427475,0.9471933841705322
9,0.39097821712493896,0.9153853058815002,0.3119162917137146,0.9383680820465088
10,0.35992974042892456,0.9150855541229248,0.2448054999113083,0.9546199440956116
11,0.32599982619285583,0.9365182518959045,0.24137885868549347,0.9619503021240234
12,0.33277270197868347,0.9243550896644592,0.37452852725982666,0.923273503780365
13,0.3820735514163971,0.9161706566810608,0.3164583444595337,0.960407018661499
14,0.30608922243118286,0.9426567554473877,0.2143276482820511,0.9581887125968933
15,0.27867910265922546,0.9563390016555786,0.27074912190437317,0.927758514881134
16,0.3861567974090576,0.9016203880310059,0.2572961747646332,0.9399113059043884
17,0.32673612236976624,0.9268662333488464,0.18231910467147827,0.9630112051963806
18,0.2631722390651703,0.9462529420852661,0.15401823818683624,0.9687016606330872
19,0.2249906361103058,0.9558738470077515,0.1403268724679947,0.9681231379508972
20,0.2076936960220337,0.9579200744628906,0.1280650794506073,0.9774787425994873
21,0.19009460508823395,0.9652467370033264,0.13234667479991913,0.9772377014160156
22,0.18945997953414917,0.963975727558136,0.11956535279750824,0.9739583134651184
23,0.17433832585811615,0.9678095579147339,0.11947359144687653,0.9757908582687378
24,0.27369454503059387,0.9401661157608032,0.3697771430015564,0.9675443172454834
25,0.31616726517677307,0.9304728507995605,0.2096637785434723,0.9777199625968933
26,0.24857716262340546,0.9534659385681152,0.14595097303390503,0.9728491306304932
27,0.23293551802635193,0.9532283544540405,0.15070168673992157,0.9623843431472778
28,0.20914620161056519,0.958777666091919,0.1618412286043167,0.9569348096847534
29,0.2000380903482437,0.951202929019928,0.1302129626274109,0.9835069179534912
30,0.17661264538764954,0.9649056792259216,0.11243018507957458,0.9749228358268738
31,0.1619381457567215,0.9685743451118469,0.10631782561540604,0.9817225933074951
32,0.15929163992404938,0.9699177742004395,0.10013483464717865,0.9808063507080078
33,0.1554044932126999,0.9696904420852661,0.09977786988019943,0.9832658767700195
34,0.1551203429698944,0.9686053395271301,0.0974726527929306,0.9833139777183533
35,0.15244969725608826,0.9734829664230347,0.09903928637504578,0.9805169701576233
36,0.1520557850599289,0.9728215336799622,0.10011973977088928,0.9812886118888855
37,0.1465955525636673,0.9719122052192688,0.09472358971834183,0.9834105372428894
38,0.1406136006116867,0.9734106659889221,0.0892975851893425,0.9827353358268738
39,0.13941527903079987,0.9753947257995605,0.0911204069852829,0.9830247163772583
40,0.1389378011226654,0.9765005707740784,0.09182678163051605,0.979938268661499
41,0.13542740046977997,0.9754050374031067,0.09547385573387146,0.9866898655891418
42,0.13186046481132507,0.9769241809844971,0.08968233317136765,0.9823496341705322
43,0.12732528150081635,0.9784226417541504,0.09157263487577438,0.9838926792144775
44,0.12382204085588455,0.9792700409889221,0.10336241126060486,0.9758391976356506
45,0.11712481826543808,0.9792803525924683,0.09158508479595184,0.9873167872428894
46,0.11124017089605331,0.9834242463111877,0.09214663505554199,0.9808063507080078
47,0.11830277740955353,0.9794663786888123,0.08785660564899445,0.9868345260620117
48,0.10821415483951569,0.9817293882369995,0.09380123019218445,0.9814332127571106
49,0.10679367929697037,0.9829489588737488,0.08550915122032166,0.9851466417312622
50,0.10242505371570587,0.9840753674507141,0.0868617594242096,0.9837481379508972
51,0.10420864820480347,0.9821635484695435,0.08888281136751175,0.9876061677932739
52,0.10079864412546158,0.985460102558136,0.09205856174230576,0.9789738059043884
53,0.1050761342048645,0.9817295074462891,0.08763287216424942,0.9864003658294678
54,0.09559633582830429,0.9846436381340027,0.08175008744001389,0.9845678806304932
55,0.09321936219930649,0.9855840802192688,0.07904371619224548,0.9859664440155029
56,0.09026885032653809,0.9847573041915894,0.0797593742609024,0.9862075448036194
57,0.08991993963718414,0.9857184290885925,0.080330029129982,0.9845678806304932
58,0.08853566646575928,0.985222339630127,0.07911758124828339,0.987750768661499
59,0.09104840457439423,0.9860076904296875,0.08214673399925232,0.9837481379508972
60,0.09021393209695816,0.9850983619689941,0.08130940049886703,0.9881365895271301
61,0.08711837232112885,0.9865968823432922,0.08190098404884338,0.9827353358268738
62,0.08558066934347153,0.9861317873001099,0.07801683992147446,0.9882330298423767
63,0.08247027546167374,0.9865244626998901,0.07689623534679413,0.984905481338501
64,0.0826755166053772,0.9868861436843872,0.07537452131509781,0.9870274066925049
65,0.08105892688035965,0.986534833908081,0.07625128328800201,0.9864485859870911
66,0.08032961189746857,0.9872996211051941,0.07512535899877548,0.9866898655891418
67,0.07909110933542252,0.9873305559158325,0.07499822974205017,0.9872685670852661
68,0.07912452518939972,0.9868448376655579,0.07510921359062195,0.9875096082687378
69,0.07796964794397354,0.9873511791229248,0.0747176855802536,0.9869791865348816
70,0.07759712636470795,0.9876509308815002,0.0748128667473793,0.9873650074005127
71,0.07720696181058884,0.9872065186500549,0.07344936579465866,0.9870274066925049
72,0.07615786790847778,0.9878678917884827,0.07375141978263855,0.9878954291343689
73,0.07675095647573471,0.9871651530265808,0.07388663291931152,0.9879436492919922
74,0.07561855018138885,0.9879401922225952,0.07392606139183044,0.9864487051963806
75,0.07541585713624954,0.987568199634552,0.07273756712675095,0.9874613881111145
76,0.07442860305309296,0.9877128601074219,0.07251076400279999,0.9876543879508972
77,0.07468970119953156,0.9880126118659973,0.07276500016450882,0.9867863059043884
78,0.0763084664940834,0.987960934638977,0.0722757875919342,0.987991988658905
79,0.07932008802890778,0.9860284924507141,0.07384487241506577,0.9874613881111145
80,0.07545004040002823,0.988519012928009,0.07403144240379333,0.9864968061447144
81,0.07299927622079849,0.987702488899231,0.07301197946071625,0.9866898059844971
82,0.0724068284034729,0.9875165820121765,0.0720362663269043,0.9875096082687378
83,0.07058896124362946,0.9884982109069824,0.07160501927137375,0.988570511341095
84,0.07178572565317154,0.988074541091919,0.07304412871599197,0.9853394627571106
85,0.0746498629450798,0.9868654608726501,0.07732411473989487,0.9892457127571106
86,0.0736013799905777,0.9886429905891418,0.07253018021583557,0.9866415858268738
87,0.07011565566062927,0.9880847930908203,0.07238448411226273,0.9881848096847534
88,0.06906257569789886,0.9874545335769653,0.07243115454912186,0.9860146641731262
89,0.07115031778812408,0.9889734983444214,0.07101702690124512,0.9880883693695068
90,0.0674237385392189,0.9880331158638,0.06978785246610641,0.9879918694496155
91,0.07382217794656754,0.9871444702148438,0.071698859333992,0.9873648881912231
92,0.07079245150089264,0.9894593358039856,0.07122060656547546,0.9880883693695068
93,0.06836434453725815,0.9874855875968933,0.06994915008544922,0.9872685670852661
94,0.06716009974479675,0.9883330464363098,0.07268884778022766,0.9848090410232544
95,0.06910733133554459,0.9880229234695435,0.07281215488910675,0.9897280931472778
96,0.06692839413881302,0.9884362816810608,0.07189437747001648,0.984953761100769
97,0.06618522107601166,0.9870308637619019,0.07011774927377701,0.9884259104728699
98,0.06525174528360367,0.98955237865448,0.06974022090435028,0.9882330298423767
99,0.06419991701841354,0.9885189533233643,0.06901974231004715,0.9879436492919922
100,0.0634022057056427,0.9890252947807312,0.06878125667572021,0.9882330298423767
101,0.06339199095964432,0.9890459775924683,0.06831163913011551,0.9873167872428894
102,0.06327357888221741,0.9885292053222656,0.06877517700195312,0.98828125
103,0.06290851533412933,0.9891286492347717,0.06844162940979004,0.9882330298423767
104,0.06264074891805649,0.9892526268959045,0.06878840923309326,0.9887152910232544
105,0.06253383308649063,0.9887875914573669,0.06829717755317688,0.9876060485839844
106,0.06237185746431351,0.9891493916511536,0.0683998242020607,0.9891974925994873
107,0.06205717846751213,0.9893145561218262,0.06854526698589325,0.9877989888191223
108,0.06210670620203018,0.9890459775924683,0.06795842200517654,0.9886188507080078
109,0.06171217933297157,0.9891596436500549,0.06788680702447891,0.9881365895271301
110,0.061602432280778885,0.989149272441864,0.06781798601150513,0.9884741306304932
111,0.06162802502512932,0.9893457293510437,0.06790333241224289,0.9881365895271301
112,0.06138203293085098,0.9891699552536011,0.06776747107505798,0.9884259700775146
113,0.061425596475601196,0.9893973469734192,0.06790368258953094,0.9890046715736389
114,0.061250559985637665,0.9891698956489563,0.0675712451338768,0.9878954291343689
115,0.061329931020736694,0.9890563488006592,0.06765401363372803,0.9886670708656311
116,0.061130523681640625,0.9892939329147339,0.06750193238258362,0.9883294701576233
117,0.06110931560397148,0.9893043041229248,0.06780644506216049,0.9884259700775146
118,0.06105086952447891,0.9893456697463989,0.06731677055358887,0.9887635111808777
119,0.06090448424220085,0.9893456697463989,0.06756052374839783,0.9886188507080078
120,0.06091853603720665,0.989335298538208,0.06726925820112228,0.988811731338501
121,0.060746096074581146,0.9891698956489563,0.0674443393945694,0.9881365895271301
122,0.06056353077292442,0.9893559813499451,0.06733471155166626,0.9889081120491028
123,0.06060224026441574,0.989521324634552,0.06722414493560791,0.9886670708656311
124,0.06048077717423439,0.9893145561218262,0.0671413466334343,0.988811731338501
125,0.06052856147289276,0.9895730018615723,0.0671333372592926,0.9890045523643494
126,0.060417089611291885,0.9892113208770752,0.06709155440330505,0.9884741306304932
127,0.06015648692846298,0.9893766045570374,0.06714316457509995,0.988860011100769
128,0.06024133041501045,0.9896247386932373,0.06685508787631989,0.9887635707855225
129,0.060146547853946686,0.9891698956489563,0.0668315589427948,0.9883776903152466
130,0.060073453933000565,0.9894799590110779,0.06704863905906677,0.9890528917312622
131,0.05998203903436661,0.9893353581428528,0.0668608620762825,0.988570511341095
132,0.05973765254020691,0.9893457293510437,0.06676522642374039,0.9890528917312622
133,0.059653379023075104,0.9896143674850464,0.06699894368648529,0.9889564514160156
134,0.05963817238807678,0.9896349906921387,0.06654760241508484,0.9889564514160156
135,0.05964796245098114,0.989624559879303,0.06656549870967865,0.988811731338501
136,0.05972221866250038,0.9890872240066528,0.06633730977773666,0.9880400896072388
